Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
14,-91.821,-55.6505,6.43635,-14.4566,-19.0344,25.2052,8.96329,6.14948,-1.12613,2.45674,-9.59807,19.4433,-45.5123,-6.32038,-6.66829,-7.0101,-59.6179,16.4525,-39.6649,-5.61846,
15,-65.2943,13.7303,-39.2193,83.8313,66.2404,-8.25525,-30.5094,-40.9955,-4.79446,13.3946,74.2851,-11.0569,-56.1266,-74.0593,-52.5987,70.9159,34.5195,76.6472,-38.8714,2.17597,
16,-63.2496,-17.5451,86.6512,-18.3081,73.7663,-32.1207,-7.11997,-73.571,-79.9799,23.9845,-87.5362,8.45058,8.73744,8.96329,28.605,-64.0614,-26.9021,81.0297,24.4972,-82.8852,
17,-28.8186,49.8886,65.3188,51.6587,21.6102,-8.61537,5.72833,-37.1258,39.5978,-83.8252,1.4008,57.5854,25.5531,49.6445,-97.2777,11.1606,79.8517,-82.8181,60.094,-0.991851,
18,-10.1474,-85.8577,-8.36512,26.0292,85.4671,27.543,24.3202,87.2982,-7.57164,5.13626,5.27666,12.1738,-90.4172,-29.252,-16.6601,-25.5226,-64.2445,-51.7869,-92.6756,48.0514,
19,-62.9872,59.5141,-67.748,25.4128,15.7994,11.8686,-21.2867,-36.9304,-81.6889,-70.5435,38.1634,67.7236,48.0758,40.8002,-35.8867,17.8869,-91.3999,74.4133,-89.9106,-7.92566,
20,78.8934,95.642,-67.9373,-66.0939,26.9692,42.143,40.3973,37.7789,-69.5914,19.4983,-63.683,-32.7677,-21.3233,-57.8356,59.2944,86.7244,61.2171,24.5949,-51.2436,60.7044,
21,24.6071,10.6906,26.5114,-33.8847,-16.6723,-83.282,-85.3633,60.1978,-3.73241,-49.5041,-39.7076,97.8393,95.0621,-31.3395,45.1277,-14.3162,11.3437,-72.1427,-49.2233,-69.6158,
22,9.26847,-25.1808,84.8506,63.4632,55.4674,-48.6373,-87.6339,95.41,-21.9153,83.7275,-93.646,35.7097,82.2077,1.98675,21.8848,-35.5571,-27.0913,36.2224,-85.9737,61.6993,
23,82.3359,-84.1731,-85.1924,88.2199,-17.1117,-91.4609,-37.2112,56.1388,-63.0238,16.6051,-5.81378,81.7988,29.3802,-50.206,-56.2243,-75.042,44.8531,-82.1284,46.3302,45.3963,
24,4.5198,8.90836,20.0598,67.4062,-33.3171,44.9934,65.7399,-46.3546,-80.2118,-13.4312,-87.3043,-81.7743,9.54313,-95.6664,-43.3454,81.8598,81.634,-30.9977,93.3103,65.2333,
25,46.1287,32.4076,-11.2766,58.0615,24.3934,-62.2547,-60.8692,85.5892,-24.839,-28.0679,30.9793,-76.5984,61.3208,-77.1416,77.1661,9.40886,-54.2467,78.4112,-9.42106,81.4875,
26,99.8657,0.503552,-79.9738,-64.2384,1.98065,74.9199,37.7606,25.6447,-49.3393,26.8532,95.2269,-51.2864,57.2375,92.645,53.74,-8.70083,-66.9729,8.60927,-25.3517,-60.2771,
27,93.8658,40.0861,42.6435,-49.1928,-16.9958,-48.2162,88.8424,70.0064,40.2692,38.731,23.661,97.4609,-68.3462,-8.05994,-36.8755,-25.8217,23.1971,2.42622,-76.7571,-58.8183,
28,73.4855,10.7211,-60.0269,69.6768,-99.1638,-47.9659,84.4417,26.7922,-99.6033,-55.8214,39.5978,35.7036,74.1386,-85.9005,57.3962,73.3757,-76.0186,88.757,89.7885,16.7516,
29,68.041,-32.2855,-91.7722,-4.45876,57.8845,70.7511,-18.1066,-63.6525,-98.6022,91.6135,-6.19831,-7.94397,-7.26646,49.4552,-11.9053,31.8155,26.0292,63.4144,-91.0825,24.7658,
30,-70.6656,-21.0364,-44.5967,-52.9954,75.3472,20.1758,-55.5223,19.425,-50.6149,96.9482,7.88293,-63.8173,-30.961,-48.1613,13.1809,89.8679,51.8845,27.4514,-72.0389,-26.957,
31,-25.1198,-68.4194,59.9109,76.0369,-3.48827,-36.6985,68.7368,-19.4556,-33.1462,-78.8324,-12.6011,-15.1585,33.1645,-22.544,13.1748,-88.8241,42.7168,4.42213,43.321,81.8354,
32,-43.1257,-84.6675,2.75582,-73.1193,94.2869,-64.6352,29.3619,29.3191,-12.8697,78.515,-71.9962,-66.0268,-6.37532,27.9763,-93.1089,-25.9499,-28.0435,-33.0363,74.2302,-17.2521,
33,-65.8071,-62.7857,-78.1915,-3.99487,-28.6843,-12.1982,-60.9912,97.0275,-62.566,-35.6487,-64.6046,86.7061,-42.0637,17.2582,86.3643,-34.5622,58.2141,-3.08542,67.2964,33.6161,
34,94.7508,-41.7035,71.7399,17.2826,66.5883,-94.2381,-39.61,-79.5221,65.508,-10.5991,-74.4621,71.7582,-84.6675,-41.9782,41.0138,69.9393,-60.094,60.4724,80.6391,13.8584,
35,48.3627,-83.5505,-49.028,86.5597,-10.5319,82.6228,-29.4534,64.452,7.14438,98.1078,-81.5546,-44.0901,29.899,-83.5749,-26.8166,-35.5327,86.2484,-8.90225,13.2725,-6.36922,
36,43.321,33.1645,75.3655,-77.7215,-68.627,-9.8178,41.3007,7.41905,-83.697,25.8034,-51.1704,-21.6102,12.5584,79.4855,62.4134,24.6498,-65.4164,-9.3173,-53.502,35.6487,
37,-93.8231,43.3882,68.5659,55.8397,64.1102,-37.9803,53.0137,-99.7375,-48.265,-34.8552,32.9874,7.4984,-74.2912,34.4035,15.1219,9.18303,42.6679,51.4206,-93.9451,36.9488,
38,29.0078,29.96,-68.0593,-81.1823,20.1697,36.259,63.0726,17.2826,-38.7188,28.1594,-53.3067,-33.61,-17.5634,60.741,-37.1014,71.221,-86.2911,89.0866,-8.24305,-63.1581,
39,62.5416,23.5206,86.5963,81.3959,-99.53,-75.7622,46.0189,97.0214,71.337,-49.0402,-69.2312,43.5285,-15.0914,-61.5528,0.60122,5.69171,-49.0585,21.4759,15.2806,-31.7362,
40,47.1847,68.0349,67.0949,11.6733,80.4193,-11.7038,-88.3908,12.9978,-33.5978,82.1161,31.7423,-26.7678,75.8476,45.1888,48.1796,38.0718,79.4549,73.2292,81.6279,53.2273,
41,63.6341,-96.2584,55.8214,49.1684,-20.9021,-68.0471,10.0742,-43.1623,-18.3874,-15.1891,-17.1728,-66.8996,-40.9284,-24.7963,-88.0367,-59.154,99.3652,-83.9778,35.3801,42.9731,
42,-75.0725,54.3992,8.22474,-95.2513,-35.728,34.0312,-86.7672,78.0328,6.52791,-96.2157,26.8227,9.59808,-11.9724,-75.0114,-64.6901,10.77,-54.9058,58.9709,-74.9626,92.8892,
43,43.7788,32.5114,-32.5907,-25.3029,74.749,7.05893,55.2904,72.2282,-95.2086,19.0649,-74.749,2.7131,-75.0725,84.5393,18.3142,32.1757,26.1696,-80.5109,75.4875,-73.3756,
44,-24.9855,97.6928,24.1615,-68.0105,-83.6665,-85.0887,33.0302,68.572,36.9976,96.3439,72.2221,-17.1667,-36.0515,-6.07623,18.6804,76.7266,24.1493,59.6179,49.3637,52.208,
45,29.9661,-65.6484,0.509655,26.9753,59.5508,16.3121,-87.402,86.0164,21.427,-24.0272,4.0498,-17.6733,34.7331,-42.5336,43.9985,-89.9594,-81.3898,4.94705,-98.413,-36.6802,
46,83.0866,-64.5436,83.1111,-63.3412,-35.0688,19.9622,61.9861,84.4478,38.9752,-39.5734,91.8455,9.4821,-52.208,-75.5669,65.2699,-70.6473,33.9641,-20.4382,-25.1747,-38.3648,
47,77.9351,75.7012,-54.0513,38.0657,-73.1986,37.315,70.1468,26.2307,31.8949,-36.1492,74.2058,15.4515,65.4836,-47.4288,80.3888,-47.0138,-0.173956,0.741601,-89.0439,86.108,
48,-93.5667,93.7559,88.702,99.4079,57.8417,-55.2049,-85.1131,21.5735,-57.8784,-97.3571,3.06711,-57.8478,-57.506,75.5058,-13.5716,19.3457,-57.8539,71.5812,-1.82195,-88.6532,
49,54.6983,14.9937,-22.8858,-52.092,-37.2784,-89.5688,-41.5693,-22.3792,-32.5846,80.7672,49.1073,7.41905,-80.8283,1.37639,-50.4624,-37.3089,-31.6202,47.6669,60.1184,68.8406,
50,-10.2268,-50.0595,-69.4876,17.2216,10.2329,-50.8225,38.1451,-29.3313,54.7411,-62.1998,-68.2546,-62.0777,-27.8665,89.642,-89.8617,-57.1947,-88.757,78.5272,-27.8359,-90.8567,
51,-98.4863,74.3767,8.38343,-72.3868,-87.2188,-73.7419,37.0403,45.7564,-90.3012,-32.2062,-34.4035,80.3095,-54.2222,77.4956,97.5768,-40.2142,-25.4677,33.8725,36.4849,-87.3043,
52,-54.2772,-62.6453,78.4722,53.0686,-24.7536,-85.8211,19.1259,44.3953,74.4011,48.6251,86.6329,13.0589,82.6289,-94.879,-29.5633,-26.487,-60.6189,-51.854,60.0085,40.2203,
53,-16.306,67.1987,-96.4538,-28.0557,61.3636,95.5443,-42.0209,-83.0561,50.4746,71.3614,-47.8317,-49.7604,32.6579,-98.7121,17.7648,28.4707,-10.4343,-8.02332,-13.6021,8.27357,
54,-68.6819,-61.5955,-16.8493,34.1838,-69.158,-91.8332,-78.0938,-26.4931,35.1115,-25.425,80.4559,-12.9917,-0.796533,17.6977,63.86,4.77004,78.1915,17.6122,-22.7943,56.859,
55,83.8069,-8.67641,-2.70089,-22.9163,-6.09455,-76.0979,81.0968,42.3933,72.5944,-50.6149,-11.6428,67.98,54.619,27.5246,-96.1608,63.6158,-25.2419,18.0944,-87.6766,-60.9424,
56,0.338757,-13.242,-56.4745,-99.1516,-74.7368,44.6394,-26.8471,36.3323,96.0204,75.3899,83.9534,-57.4755,-91.7173,-0.289923,-78.3807,-9.84832,57.7868,38.316,31.8705,49.9069,
57,-51.4267,-23.5389,-3.8728,-51.793,64.3544,92.2117,-79.5282,3.82397,-12.0212,-65.3432,-53.3921,-7.41905,-67.6504,-58.3056,-62.566,2.37129,10.3488,51.2192,55.8397,21.0913,
58,50.8957,63.6219,92.5047,21.9092,63.1397,79.461,-88.9157,-99.8169,15.891,-20.7373,-11.6611,43.1013,70.4825,49.3698,-64.4032,-13.0284,88.2443,76.0979,64.1896,-31.8644,
59,81.3044,-19.4678,-43.2417,38.1756,72.1,-50.0168,32.4442,-25.7912,-50.8286,75.3533,39.9152,-75.8415,28.544,97.6501,-54.8143,79.0521,-73.7724,57.8783,14.2857,-70.1224,
60,-57.3046,-46.8673,56.1022,-76.7144,-31.0038,75.0969,-83.9839,83.8008,13.0283,-94.116,57.1398,-20.8899,-73.278,22.4647,-18.5949,36.1919,62.0533,-98.2177,90.7773,-18.0151,
61,-93.5789,-10.1962,-74.9809,28.1899,-12.302,89.1964,40.5988,-2.90841,-13.8829,-67.6077,82.9035,31.8766,-54.1673,-11.4475,-53.9354,51.6892,10.9897,26.8044,24.2347,75.6645,
62,54.2344,-57.2069,-12.3325,46.7391,61.1133,-19.9194,86.1507,-79.986,5.59404,-25.0099,93.5301,-15.2928,-44.7371,-79.8944,-72.6249,83.3918,77.691,-91.998,5.27666,-41.3556,
63,-54.3504,15.4393,-19.1565,49.4491,-20.8045,-96.5392,-44.0168,95.9044,-67.2597,-48.5763,-62.7491,0.93081,3.5493,-18.4118,-28.0801,36.8023,88.8913,-83.7764,7.24205,-24.2347,
64,11.3193,-59.1479,-10.1169,-8.05994,-70.6229,58.385,33.9579,34.9467,89.0133,-2.34077,61.2049,3.79345,98.4252,91.8882,-70.1773,81.7011,65.8132,-25.7302,-1.97455,-48.1368,
65,61.2781,20.0232,-98.7732,35.5693,-92.7793,-21.1035,-83.2026,15.6774,23.7648,-32.1635,-21.836,-86.4559,-13.7059,-12.7659,-89.3002,-20.4321,70.2017,-62.5233,39.8175,-35.8684,
66,70.4031,59.9353,-60.7898,22.4769,-36.5764,80.1996,80.401,-13.9317,58.7329,-75.6768,98.2788,-89.5627,30.137,-8.85952,-83.3308,44.4075,51.4817,-20.5298,-40.5866,-63.1947,
67,-33.6772,76.9768,46.9954,14.9144,-99.0966,31.785,-34.0007,-81.3532,-13.535,-27.1767,12.7415,-2.12714,1.51677,-96.3866,15.7384,-93.8963,24.5827,-72.338,-96.5087,-3.14035,
68,7.78527,8.41396,-54.8997,-41.5082,44.3281,-21.5796,41.6547,-55.0035,-45.5,16.2877,81.5607,31.5958,2.75582,-88.525,-20.7251,57.738,-46.4583,-46.5621,-50.7553,-37.1197,
69,98.3581,-12.2227,26.5603,-76.0125,24.1066,-69.2679,-67.5588,27.5918,-50.7187,-9.60417,28.5806,-48.7716,80.5292,-1.58391,-28.4036,-23.4596,-75.5181,86.4315,-81.8537,85.168,
70,73.87,64.4704,34.4279,62.1448,-78.2769,7.98059,61.4124,93.231,-89.642,40.4157,56.7125,-96.7223,19.8523,66.8508,50.4135,47.3739,-69.7256,92.3704,-27.4148,-19.4189,
71,29.3741,82.5556,15.3294,-26.2551,16.7455,-58.8366,-93.2798,61.034,-35.4045,15.8116,75.9697,94.2381,-67.3147,-8.73135,32.841,8.13318,80.7855,52.2996,-12.9002,37.492,
72,-54.4542,-93.6033,75.4509,70.7938,-28.1411,44.4014,65.4958,48.5519,-31.6935,85.8394,73.5282,-59.9048,-44.4014,-23.5878,-29.7525,-58.8733,54.4298,-38.1634,-73.6381,-52.6353,
73,62.5599,32.8654,-62.3402,-46.0982,74.572,-66.3564,31.138,-41.9294,21.482,69.4205,-84.0449,-33.8176,41.1847,3.08542,-19.9805,-8.87173,-28.428,-2.46285,-88.7936,-54.2039,
74,-25.7912,62.505,-29.9112,72.338,96.5819,47.087,-69.9026,78.7957,78.3135,90.7407,-19.8706,37.4737,-94.2808,-95.2208,-43.4919,-90.289,65.1601,-99.4507,-4.42824,-43.1623,
75,-26.6213,37.4004,75.28,42.1552,37.3028,-70.8731,-19.8096,72.1915,-69.042,-48.5275,22.8553,-46.6475,95.3734,-29.545,94.2747,1.65105,71.5567,-47.9232,-14.5299,33.1095,
76,-93.0052,-51.4512,73.2963,-27.9031,-96.6308,18.1371,84.9788,15.0487,-12.9063,-27.5613,59.9841,-18.8147,35.1238,13.4129,-74.7368,-77.5323,24.3995,42.9975,-92.2239,-9.1525,
77,12.2593,-74.1508,75.4936,-80.1264,14.9632,38.9874,17.4352,-51.9211,25.9316,68.2974,-60.2832,-22.9713,14.3101,7.91955,61.4795,50.8652,49.2355,-47.9965,-98.1506,-86.2728,
78,-20.426,-93.1211,-30.8817,-3.5493,-72.7775,-66.9851,-56.4196,-28.0984,39.1461,99.6887,-33.8969,34.1838,7.90734,24.4667,-20.7495,50.8591,26.0903,24.9367,25.6142,-10.4831,
79,-76.043,-10.6845,20.6885,-91.1618,19.9499,20.5664,-97.351,8.53603,55.9557,-36.9732,73.2658,-19.4311,-45.7625,-36.0454,-95.2086,22.2144,-62.9261,70.629,69.5059,30.7291,
80,-35.0139,72.3685,69.3167,-60.2466,41.4289,30.9122,-11.3926,-56.2548,-0.619525,57.4084,-56.4806,-67.7175,72.0573,-89.9655,17.2582,-86.4376,-7.35191,47.0199,-6.99179,-4.20851,
81,79.8028,-88.6349,11.4231,59.4653,13.4983,-64.9342,14.2064,-5.5208,-2.03558,-49.7482,5.45366,-28.8125,-66.4113,82.3298,-64.4459,-35.0261,20.7739,-43.3271,54.912,51.2314,
82,-59.7034,-7.6693,-72.7287,12.9002,81.402,54.4481,68.157,-1.91962,-15.7445,-43.8459,-42.3078,72.2648,-52.3118,-78.7347,-55.2721,-90.7346,-29.4656,73.6259,78.0877,82.9279,
83,88.0367,68.3218,34.7087,65.1906,-55.6078,-11.4231,70.6534,45.1704,-26.6945,-52.1043,-81.5851,-84.0388,78.3013,74.8039,-68.4866,56.1022,62.8834,-2.20038,-36.5398,-55.913,
84,-74.987,45.3719,2.80465,-80.3766,-1.80364,45.9761,0.491345,54.3626,-19.7424,55.9557,-10.7089,43.1929,-39.3475,89.7519,-91.3572,-49.4308,-71.1661,61.8274,-1.98065,-59.0442,
85,69.866,-85.7173,-38.7799,-24.9672,79.8578,-15.4332,7.8402,-96.9115,83.5139,47.0565,1.44353,89.1659,12.4729,58.3789,-76.3298,-60.1001,98.3825,75.1884,56.1754,-38.0596,
86,78.7896,-38.0963,-3.83008,94.7508,91.5036,66.0085,68.5354,45.0667,-37.7239,-67.4429,-61.0034,-39.6222,96.2035,91.6562,62.6453,20.7739,-1.65715,-26.6335,-5.44755,-93.6827,
87,-10.886,-7.8341,-34.2937,-48.5031,29.1726,-58.7268,-81.7682,-96.6491,-22.1473,-14.1758,-40.7392,-56.9689,19.9194,-64.4215,-76.4458,-69.7012,40.141,-99.707,-54.1124,24.9123,
88,-55.5773,73.3451,-80.9931,12.418,-29.1238,23.0323,-66.1489,-70.3543,23.0323,-62.0289,34.7514,34.9773,-53.4043,-11.1301,-82.5983,-50.8835,87.2738,46.4339,-22.4769,-7.22373,
89,26.9509,-59.9719,-81.811,-0.277716,-36.0698,-43.8704,-87.3409,-14.1331,-30.8878,-78.2159,-5.72222,53.0015,-94.6165,-75.1274,75.9331,-60.979,-64.3544,-46.7025,-29.4839,81.8232,
90,12.0151,31.0831,-91.1008,36.8694,-16.6906,18.5217,39.7626,96.2218,-85.9432,21.3782,73.2414,-23.3497,15.5919,-24.0333,70.6656,64.4948,-0.759912,-81.3715,-6.63778,46.0616,
91,24.8085,-80.7489,-24.5705,-99.5727,70.4764,-44.0657,-53.679,-24.723,-54.4114,-45.8052,-82.8425,-5.30106,16.1656,-94.9583,-96.0326,-0.277716,-51.7869,99.4995,22.7699,-68.6392,
92,-15.2684,-33.256,-50.4135,-31.7423,50.322,-59.0808,27.7932,66.2404,-95.8678,6.94296,-17.2948,-92.9624,48.1307,-8.23694,-33.726,-32.3893,84.2647,22.3243,30.4605,24.9062,
93,-96.704,0.283825,-63.329,-61.272,55.0035,-18.7109,85.6746,33.488,12.3325,-42.9182,-25.132,-29.899,69.4327,46.8062,-51.5915,-82.2871,20.4443,69.5975,50.4318,-54.5335,
94,72.8263,-64.4093,54.4908,-43.0647,-96.4415,13.1932,-12.1372,37.8094,6.47298,95.4894,-10.2939,-17.832,99.1394,25.0587,27.5918,82.5983,-0.863671,-55.5223,-30.9061,-68.3462,
95,-72.0756,29.9783,-59.3066,59.0564,-15.5675,-58.4155,5.6795,-72.7592,-42.7839,71.9291,-1.91351,37.7972,93.5606,93.2615,15.1769,-87.0296,-59.2883,-22.1534,54.2161,-24.9611,
96,-46.5194,-78.4112,32.5541,-54.326,-80.9137,-65.2394,23.4901,-10.1108,-62.5965,-6.6805,33.7321,8.57875,66.625,80.4559,-28.5195,34.9589,64.9586,79.3817,44.9507,2.23091,
97,-41.6059,-4.64187,-2.78023,17.3193,-87.5179,-31.9193,-77.0196,-5.42314,-96.234,99.9756,-13.8646,-56.3036,-42.3627,41.4289,62.0716,-34.9223,-0.515765,-57.1703,-73.8212,59.1052,
98,36.3323,9.39054,7.36412,-23.4779,52.5926,85.754,-34.373,-53.6912,-28.6721,-1.32756,-74.218,-85.4366,-83.6421,-3.02438,61.6627,-19.8767,-88.4762,29.49,47.0748,-58.1957,
99,12.2898,-82.1345,89.819,-29.4412,34.1899,11.417,-85.4061,62.743,-93.5179,53.1053,91.5342,17.3254,57.6891,96.466,99.1333,-62.1754,16.3121,94.995,-84.0876,27.7688,
100,91.7661,71.0807,-72.045,91.345,95.2574,-96.2279,36.082,91.4243,74.1325,-81.402,14.3223,-69.1458,-57.1581,-45.0056,27.1218,99.0906,-84.1548,-47.5753,-61.0584,-14.42,
101,21.4454,84.3989,-15.3417,-33.3293,-40.3546,2.5422,69.1092,92.8343,-8.005,94.6287,-36.4788,21.2561,-24.8573,42.2956,-25.4372,83.5749,65.7277,27.1828,-91.1496,-88.5678,
102,57.6464,-1.05289,-81.7499,88.5006,-71.691,-72.9667,-30.2957,62.0716,55.5773,-27.6345,-69.7012,67.9312,69.5181,90.0265,80.1141,-88.8546,-99.7864,-64.9281,-0.784326,96.8139,
103,-15.4576,-28.2571,55.1073,-2.92062,-76.9829,-53.8499,-7.38243,26.4321,74.5109,51.6404,-14.4749,41.7524,-51.2253,22.9774,-6.39973,27.7932,-44.4075,94.9278,76.6045,69.335,
104,63.6769,64.0675,-14.5482,-3.27464,-21.9153,46.0738,78.5394,39.6832,-94.9828,-13.6021,56.9933,76.3115,-84.8262,80.7489,41.5265,-47.6913,-20.7495,24.8268,52.8306,13.3885,
105,47.8927,-25.2113,10.2573,78.9178,-28.6111,-30.6742,70.397,13.2664,-97.3693,34.2143,-80.2789,-88.0917,29.5267,-17.655,-3.84839,37.7483,39.9579,-73.394,37.553,-46.3424,
106,-72.8446,-79.9005,72.5822,-82.9951,-12.2715,-53.9415,-94.7386,-44.4441,89.111,-74.9687,34.4218,65.2882,67.6199,18.3508,-53.6363,57.5182,59.5874,87.3287,27.4392,43.5774,
107,3.30515,30.137,22.5868,64.7023,34.6538,29.7647,-8.4933,-69.5364,-48.6007,78.1793,78.8385,90.5332,44.5662,91.3938,25.5898,-89.111,-94.8424,85.4122,72.7897,57.5732,
108,-95.9838,26.8654,20.1331,-12.0518,52.031,76.6594,-6.29597,-72.393,-79.6075,56.6698,-11.3926,60.9668,36.0759,18.8574,-18.2043,89.9716,26.017,-84.8384,50.2243,16.5746,
109,-98.6022,61.919,9.32341,-37.5347,87.4813,-77.2759,3.8789,88.8424,-17.2033,-36.8084,4.74563,4.43434,6.4974,27.4514,81.0724,3.39061,77.7276,59.6423,1.98065,79.8517,
110,49.6628,-36.259,22.721,-23.7037,-67.6504,81.9941,24.5094,92.407,76.3848,-49.6506,-3.57372,-70.0919,24.3263,36.3994,-68.9627,6.38752,18.7597,-92.3032,-79.0643,-60.5884,
111,-33.2255,89.2148,-39.7687,-87.9757,2.16987,38.6273,4.75173,84.2891,86.3765,70.5435,-28.2937,25.1747,-8.35292,-17.7831,83.3674,-18.0456,-9.73846,70.9281,61.9923,-98.1017,
112,80.4254,-35.5754,-47.2396,-94.879,-94.9522,-15.1219,50.8103,7.8402,84.8201,-40.5927,83.105,6.22883,-97.0641,96.2096,-17.1545,-41.5082,-57.3901,-96.5148,-16.7516,22.837,
113,-7.54723,50.5844,45.4268,29.136,-17.6183,39.3536,-87.2555,-81.2189,2.18818,-38.786,72.6371,-83.2881,2.25532,-8.43226,-74.5231,48.3322,32.9752,5.79547,-28.3303,39.0118,
114,53.5813,-43.4187,0.320446,-65.4042,-76.3665,71.1417,-54.7533,-96.4415,18.1371,0.473034,-73.4733,-38.2794,85.9127,18.4179,-56.9994,32.902,-24.2103,98.7915,93.4934,-59.0686,
115,-89.8984,-54.5152,5.99688,-76.4641,86.639,65.4653,36.8328,9.19523,47.6485,98.9318,16.4037,-14.9083,-53.3494,24.3812,-51.7869,79.7357,37.1563,-79.6625,-64.2079,21.6468,
116,26.194,-42.7778,-29.2459,-72.6249,17.7343,87.5668,-37.3211,-26.0231,82.4152,4.03759,-65.0258,76.4336,-40.318,-28.9102,77.0928,-50.8103,89.0011,-46.8246,78.4783,6.71712,
117,-95.1659,-10.6967,52.5193,43.9985,-76.9768,83.6604,-20.304,-50.267,42.1125,39.9396,86.0958,-91.7844,43.73,64.7877,3.34178,-23.9051,9.51872,64.8488,63.0848,-90.0082,
118,36.4849,-16.7455,14.9815,89.349,-65.2516,-24.6986,55.8092,-33.2316,-30.5948,-79.3756,-1.94403,25.0099,-4.48317,-0.692773,-53.1968,94.1527,-31.8278,91.4243,-92.8648,-95.7396,
119,93.8169,-45.4695,-3.16477,-71.1112,-53.2579,-40.6659,13.5044,-81.0419,73.3329,87.1212,8.70693,-50.6088,-91.6562,-2.35908,67.2231,-70.0552,-13.4495,50.6699,-26.194,70.3909,
120,0.088501,10.1108,66.0939,99.8047,-20.658,34.1288,-20.0781,43.8032,89.1781,-59.2212,-90.3134,-81.7133,25.3029,-49.2233,1.09562,-6.03351,-16.5807,-15.183,99.8535,41.5387,
121,41.2763,-51.2558,46.1653,-30.5216,-54.3565,17.6427,69.4571,51.091,3.57372,83.9412,-9.75677,-13.4556,-72.0573,85.5281,-28.5867,-36.259,-68.3523,60.3015,75.8782,70.568,
122,-46.8123,75.9941,-54.5518,-40.0189,-55.0401,77.7154,12.5095,5.58794,40.1349,-48.7167,-48.8693,-46.2874,-99.9634,83.05,72.6493,40.6964,86.0042,-40.6781,-11.6184,2.85348,
123,64.4704,-13.0345,19.9927,49.5346,80.7306,62.8529,-85.6929,-52.3362,94.6104,-69.0298,-98.2604,-53.9659,-77.8985,32.3527,48.3139,-64.33,79.2474,-92.0042,-79.9738,-92.4192,
